zone,light_sum,year
mato_grosso_do_sul,227717.0,2012
distrito_federal,167251.0,2012
rio_grande_do_sul,878787.0,2012
brazil,13253453.0,2012
rio_de_janeiro,799751.0,2012
paraiba,343702.0,2012
minas_gerais,1399569.0,2012
amapa,35862.0,2012
santa_catarina,695178.0,2012
piaui,162565.0,2012
goias,479412.0,2012
rio_grande_do_norte,256212.0,2012
roraima,33173.0,2012
parana,915808.0,2012
tocantins,133720.0,2012
maranhao,312449.0,2012
sergipe,230431.0,2012
mato_grosso,275572.0,2012
amazonas,130061.0,2012
sao_paulo,2613766.0,2012
pernambuco,536869.0,2012
para,379443.0,2012
bahia,882445.0,2012
ceara,536250.0,2012
espirito_santo,372700.0,2010
acre,50076.0,2010
alagoas,271103.0,2010
rondonia,142421.0,2010
mato_grosso_do_sul,221299.0,2010
distrito_federal,162846.0,2010
rio_grande_do_sul,925189.0,2010
brazil,13409768.0,2010
rio_de_janeiro,813287.0,2010
paraiba,362631.0,2010
minas_gerais,1402501.0,2010
amapa,37898.0,2010
santa_catarina,695691.0,2010
piaui,163076.0,2010
goias,492196.0,2010
rio_grande_do_norte,266494.0,2010
roraima,33848.0,2010
parana,877096.0,2010
tocantins,114946.0,2010
maranhao,289464.0,2010
sergipe,205406.0,2010
mato_grosso,299763.0,2010
amazonas,133044.0,2010
sao_paulo,2663642.0,2010
pernambuco,552368.0,2010
para,346632.0,2010
bahia,917794.0,2010
ceara,593398.0,2010
espirito_santo,193477.0,2005
acre,25375.0,2005
alagoas,127321.0,2005
rondonia,60905.0,2005
mato_grosso_do_sul,111121.0,2005
distrito_federal,101198.0,2005
rio_grande_do_sul,434833.0,2005
brazil,6994753.0,2005
rio_de_janeiro,510145.0,2005
paraiba,179167.0,2005
minas_gerais,731871.0,2005
amapa,20713.0,2005
santa_catarina,337516.0,2005
piaui,85395.0,2005
goias,229935.0,2005
rio_grande_do_norte,133839.0,2005
roraima,17324.0,2005
parana,442987.0,2005
tocantins,57992.0,2005
maranhao,137787.0,2005
sergipe,91867.0,2005
mato_grosso,141671.0,2005
amazonas,94966.0,2005
sao_paulo,1567521.0,2005
pernambuco,279988.0,2005
para,175918.0,2005
bahia,423859.0,2005
ceara,278399.0,2005
